epoch,train_loss,train_acc,val_loss,val_acc
1,1.3888545526398552,22.86309937456567,1.3811005473136901,27.5
2,1.3751784529950883,29.117442668519807,1.327505850791931,39.375
3,1.3338657531473372,31.688672689367618,1.278807806968689,35.625
4,1.314868509107166,34.81584433634468,1.2729463785886765,39.375
5,1.3132962922255198,33.4954829742877,1.2979441344738007,33.75
6,1.2938670678271187,34.329395413481585,1.288527011871338,38.125
7,1.279769211014112,35.85823488533704,1.283038365840912,38.75
8,1.2914681322044796,35.37178596247394,1.2854584336280823,36.875
9,1.2796282374196581,36.06671299513551,1.2893990397453308,35.625
10,1.2802874866459104,35.09381514940931,1.2909243792295455,37.5
11,1.2689211282465194,36.34468380820014,1.2912592113018035,36.25
12,1.2727177378204133,35.23280055594162,1.2774235129356384,38.75
13,1.2593150678608152,36.414176511466295,1.2799399077892304,36.875
14,1.2620868967639076,37.24808895066018,1.306234061717987,38.125
15,1.2687532130214902,35.58026407227241,1.277612367272377,36.875
16,1.2586383432149888,36.622654621264765,1.2975777775049209,36.25
17,1.2515106230974198,36.69214732453092,1.271879032254219,36.875
18,1.2657069358560773,35.64975677553857,1.2778471201658248,35.0
19,1.2540836022959816,36.9006254343294,1.2750176161527633,36.25
20,1.2468462391032114,36.76164002779708,1.2938971847295762,38.75
21,1.2382998012834125,38.498957609451004,1.2837678730487823,38.125
22,1.2467480841610166,38.15149409312022,1.299695584177971,32.5
23,1.239610093832016,38.637943015983325,1.31071375310421,40.0
24,1.2372178710169262,38.082001389854064,1.28986836373806,38.125
25,1.2335294130775663,39.263377345378736,1.2886267244815826,36.25
26,1.247054022219446,38.42946490618485,1.2816423803567887,38.75
27,1.2247218343946669,37.80403057678944,1.2952587455511093,40.625
28,1.2339947207106485,39.81931897150799,1.2721999347209931,40.625
29,1.2252747356891631,39.74982626824183,1.2901841074228286,38.75
30,1.2357277277443144,38.637943015983325,1.3100159406661986,33.125
