epoch,train_loss,train_acc,val_loss,val_acc
1,1.3861063162485758,26.754690757470467,1.3755450963973999,28.125
2,1.3536264876524606,31.61917998610146,1.3260685324668884,36.875
3,1.3302514500088163,32.80055594162613,1.3447437107563018,34.375
4,1.322519791788525,32.80055594162613,1.2790200024843217,38.125
5,1.3105672273370954,33.21751216122307,1.2642268300056458,36.875
6,1.296639926897155,33.912439193884644,1.316574376821518,36.875
7,1.2872045553392835,37.31758165392634,1.269275227189064,38.125
8,1.2903029451767603,33.9819318971508,1.260417091846466,37.5
9,1.2898471468024784,34.39888811674774,1.2582430809736251,38.125
10,1.2793383886416754,35.64975677553857,1.2558197855949402,36.875
11,1.2793670531776216,37.03961084086171,1.2675310850143433,40.625
12,1.2784688078694872,36.06671299513551,1.2884016752243042,34.375
13,1.2862232456604639,35.37178596247394,1.263853234052658,41.875
14,1.2774079736736086,37.10910354412787,1.2820345103740691,33.75
15,1.2687291115522386,36.13620569840167,1.2659448355436325,37.5
16,1.2662373645438088,37.52605976372481,1.2529116541147232,36.875
17,1.27745297882292,36.414176511466295,1.2578111290931702,38.75
18,1.2593321634663477,36.13620569840167,1.2549985080957413,35.0
19,1.2796698646412956,35.997220291869354,1.2548934757709502,35.625
20,1.2656384766101838,35.9277275886032,1.2837872564792634,33.75
21,1.2658360007736418,35.163307852675466,1.2482099533081055,38.75
22,1.2692750245332718,37.87352328005559,1.261446750164032,38.75
23,1.2624333881669574,37.03961084086171,1.331717050075531,35.625
24,1.2630935579538345,37.66504517025712,1.255269742012024,38.125
25,1.2597499873903062,37.87352328005559,1.287876808643341,40.625
26,1.2491982367303636,37.45656706045865,1.3274955093860625,35.625
27,1.2592572626140384,37.45656706045865,1.2557650834321976,40.0
28,1.2554661770661673,38.42946490618485,1.2646631002426147,35.625
29,1.2523787571324243,39.680333564975676,1.2947004914283753,39.375
30,1.2488233365946346,39.680333564975676,1.2801353991031648,38.125
