epoch,train_loss,train_acc,val_loss,val_acc
1,1.3863159630033706,25.22585128561501,1.3731977581977843,27.5
2,1.3574719140926996,31.758165392633774,1.3165917098522186,32.5
3,1.3106212317943573,35.4412786657401,1.2817423939704895,36.875
4,1.2974153065019183,36.205698401667824,1.2706963062286376,36.25
5,1.2881872408919863,34.120917303683115,1.2705538630485536,36.875
6,1.2856143636835946,36.13620569840167,1.27882981300354,36.25
7,1.2934874749845928,33.703961084086174,1.2752188116312027,37.5
8,1.2759060826566484,35.85823488533704,1.2612748265266418,35.625
9,1.2692121479246352,38.22098679638638,1.2749016404151916,39.375
10,1.2713741603824826,37.03961084086171,1.2932618111371994,36.25
11,1.2724092880884805,36.34468380820014,1.264715987443924,38.125
12,1.262541589140892,36.622654621264765,1.2736033976078034,30.625
13,1.2644107480843862,36.55316191799861,1.2732771933078766,33.75
14,1.2610609812868967,37.24808895066018,1.2795414209365845,38.125
15,1.2499066862795087,38.846421125781795,1.2647293299436568,33.125
16,1.258042112323973,38.35997220291869,1.2706157505512237,38.125
17,1.2663426525062984,38.15149409312022,1.2548464298248292,41.25
18,1.2405430459313922,41.27866574009729,1.3128573417663574,31.25
19,1.2520299507511987,37.45656706045865,1.2799840420484543,38.125
20,1.24069261584017,39.054899235580265,1.2623808085918427,35.0
21,1.2546099215745925,39.40236275191105,1.2650060653686523,35.625
22,1.240895062022739,39.263377345378736,1.2987257838249207,30.625
23,1.2383610791630215,39.471855455177206,1.2959649026393891,34.375
24,1.2348213146130245,40.44475330090341,1.2737687349319458,38.75
25,1.2309972978300519,39.74982626824183,1.2641335338354112,35.0
26,1.2310457795858383,40.58373870743572,1.2599248170852662,37.5
27,1.2320997913678486,40.86170952050035,1.267757061123848,34.375
28,1.2276723169618182,40.931202223766505,1.2682388782501222,36.875
29,1.2260186311271455,42.32105628908965,1.3076843827962876,34.375
30,1.216309646103117,42.32105628908965,1.2999671310186387,33.125
