epoch,train_loss,train_acc,val_loss,val_acc
1,1.3719353086418575,28.214037526059762,1.2520781874656677,38.125
2,1.2632356772820155,36.27519110493398,1.1561356633901596,44.375
3,1.1987672729624643,39.81931897150799,1.2374154478311539,39.375
4,1.1757252421644,41.139680333564975,1.114213889837265,48.75
5,1.1619401825798883,42.32105628908965,1.1827267438173295,40.625
6,1.1475263850556479,44.26685198054204,1.1095584452152252,41.875
7,1.1361408452192943,44.26685198054204,1.0744215846061707,46.25
8,1.1570991367101668,42.73801250868659,1.1550055742263794,45.625
9,1.1144022276004155,46.14315496872828,1.0796641081571579,46.25
10,1.105840195218722,46.907574704656014,1.1055730283260345,40.625
11,1.101879839433564,47.88047255038221,1.0958564549684524,50.625
12,1.0858059452639686,49.200833912439194,1.1243358463048936,48.75
13,1.067567269007365,51.21612230715775,1.0501750826835632,51.875
14,1.0685092998875512,48.99235580264072,1.0715602844953538,50.625
15,1.0486470166179869,51.00764419735928,1.1071162432432176,48.125
16,1.0263406303193834,53.16191799861014,1.0641352266073227,53.125
17,0.9940224470363723,55.107713690062546,1.0608315259218215,51.875
18,1.000021370086405,55.03822098679639,1.0821133881807328,47.5
19,1.0120842498209741,54.343293954134815,1.1431787341833115,45.625
20,0.9799229211277432,56.984016678248786,1.104615145921707,46.875
21,0.9592890600363414,57.81792911744267,1.0999784171581268,50.0
22,0.9479018311533663,60.111188325225854,1.1056294709444046,49.375
23,0.934125278558996,59.694232105628906,1.1248295873403549,47.5
24,0.9259365439414978,61.29256428075052,1.055001676082611,46.25
25,0.9100972109370762,61.153578874218205,1.080522319674492,51.25
26,0.8948798875841829,61.98749131341209,1.026452662050724,53.125
27,0.8717831922902002,63.168867268936765,1.0366734743118287,54.375
28,0.8912859133548207,63.51633078526755,1.0609495162963867,53.125
29,0.8573214381933212,63.377345378735235,1.0266984581947327,58.125
30,0.8381404656502935,64.00277970813065,1.0713795259594918,56.875
